Referencia,Referencia_yyyymm,Indice
dez/2015,201512,1.644279
jan/2016,201601,1.6296128
fev/2016,201602,1.6053709
mar/2016,201603,1.5902638
abr/2016,201604,1.583298
mai/2016,201605,1.5732283
jun/2016,201606,1.5579603
jul/2016,201607,1.5506723
ago/2016,201608,1.5408115
set/2016,201609,1.5360491
out/2016,201610,1.5348211
nov/2016,201611,1.5322171
dez/2016,201612,1.5311447
jan/2017,201701,1.5290042
fev/2017,201702,1.5226096
mar/2017,201703,1.5189636
abr/2017,201704,1.5141188
mai/2017,201705,1.5129087
jun/2017,201706,1.5074819
jul/2017,201707,1.5120176
ago/2017,201708,1.509452
set/2017,201709,1.5099049
out/2017,201710,1.5102066
nov/2017,201711,1.5046394
dez/2017,201712,1.5019358
jan/2018,201801,1.4980411
fev/2018,201802,1.4946035
mar/2018,201803,1.4919176
abr/2018,201804,1.4908744
mai/2018,201805,1.4877496
jun/2018,201806,1.4813802
jul/2018,201807,1.4604951
ago/2018,201808,1.4568529
set/2018,201809,1.4568529
out/2018,201810,1.4524953
nov/2018,201811,1.4467086
dez/2018,201812,1.4503347
jan/2019,201901,1.4483067
fev/2019,201902,1.4431113
mar/2019,201903,1.435361
abr/2019,201904,1.4243924
mai/2019,201905,1.4158973
jun/2019,201906,1.4137768
jul/2019,201907,1.4136356
ago/2019,201908,1.4122231
set/2019,201909,1.4105306
out/2019,201910,1.4112358
nov/2019,201911,1.4106721
dez/2019,201912,1.4030952
jan/2020,202001,1.3861837
fev/2020,202002,1.3835548
mar/2020,202003,1.381207
abr/2020,202004,1.3787254
mai/2020,202005,1.3819034
jun/2020,202006,1.3853667
jul/2020,202007,1.3812231
ago/2020,202008,1.3751721
set/2020,202009,1.3702395
out/2020,202010,1.3584213
nov/2020,202011,1.346438
dez/2020,202012,1.3337677
jan/2021,202101,1.3145744
fev/2021,202102,1.311035
mar/2021,202103,1.3003719
abr/2021,202104,1.2892845
mai/2021,202105,1.2844034
jun/2021,202106,1.2721901
jul/2021,202107,1.2646029
ago/2021,202108,1.2518337
set/2021,202109,1.240914
out/2021,202110,1.2261992
nov/2021,202111,1.2121389
dez/2021,202112,1.202041
jan/2022,202201,1.1933298
fev/2022,202202,1.1853881
mar/2022,202203,1.1736514
abr/2022,202204,1.1539196
mai/2022,202205,1.1420421
jun/2022,202206,1.1369263
jul/2022,202207,1.1299207
ago/2022,202208,1.1367408
set/2022,202209,1.1402756
out/2022,202210,1.1439367
nov/2022,202211,1.1385851
dez/2022,202212,1.134275
jan/2023,202301,1.1265018
fev/2023,202302,1.1213435
mar/2023,202303,1.1127754
abr/2023,202304,1.105699
mai/2023,202305,1.0998698
jun/2023,202306,1.0959244
jul/2023,202307,1.0970212
ago/2023,202308,1.0980096
set/2023,202309,1.0958179
out/2023,202310,1.0946142
nov/2023,202311,1.0933019
dez/2023,202312,1.0922097
jan/2024,202401,1.0862354
fev/2024,202402,1.080079
mar/2024,202403,1.0714008
abr/2024,202404,1.0693687
mai/2024,202405,1.0654269
jun/2024,202406,1.0605483
jul/2024,202407,1.0579036
ago/2024,202408,1.0551603
set/2024,202409,1.0566394
out/2024,202410,1.0515916
nov/2024,202411,1.045216
dez/2024,202412,1.0417779
